__BEGIN__;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
Warszawa Rembertów;o;08:18;08:33;08:33;08:37;;08:44;08:59;;|;09:26;09:36;09:59
Warszawa Wschodnia;p;08:24;08:39;08:39;08:43;;08:50;09:05;;09:17;09:32;09:42;10:05
Warszawa Wschodnia;o;08:26;08:40;08:40;08:44;;08:51;09:06;;09:19;09:33;09:44;10:06
Warszawa Stadion;o o;08:28;08:43;08:43;08:47;;08:54;09:09;;< ;09:35;09:46;10:09
Warszawa Powiśle;;08:31;08:45;08:45;08:49;;08:56;09:11;;< ;09:38;09:49;10:11
Warszawa Śródmieście;o;08:34;08:49;08:49;08:53;;09:00;09:15;;< ;09:41;09:52;10:15
Warszawa Centralna;p;< ;< ;< ;< ;;< ;< ;;09:25;< ;< ;< 
Warszawa Centralna;o;< ;< ;< ;< ;;< ;< ;;09:39;< ;< ;< 
Warszawa Ochota;o p;08:37;08:52;08:52;08:56;;09:03;09:18;;< 09:43;09:44;09:55;10:18
Warszawa Zachodnia;;08:40;08:55;08:55;08:59;;09:06;09:21;;;09:47;09:58;10:21
__BEGIN__;;R2;R2;R2;91250 CZEREMSZAK;11826;R2;R2;R2;R2;R2;R2;R2
;;91808/9;11854 (D);91864;;;91810/1;91866/7;91812/3;11856;91868;91814/5;91870/1
;;;;;;;(D);;(D);;;(D);
;;;;;Czeremcha;Terespol;;;;;;;
Łuków;o o;;09:03;;;09:44;;;;10:58;;;
Krynka Łukowska;;;09:09;;;09:50;;;;11:04;;;
Radomyśl;o o;;09:12;;;09:53;;;;11:07;;;
Dziewule;;;09:15;;;09:56;;;;11:10;;;
Borki Kosy;o o;;09:19;;;10:00;;;;11:14;;;
Kosiorki;;;09:22;;;10:03;;;;11:17;;;
Białki Siedleckie;o o;;09:25;;;10:06;;;;11:20;;;
Siedlce Wschodnie;;;09:27;;;10:09;;;;11:22;;;
Siedlce;p;;09:30; ;10:07;10:12;; ;;11:25; ;; 
Siedlce Zach.;o o;; ;09:49;10:10; ;;10:35;; ;11:45;;12:45
Siedlce Zach.;;;;09:52;10:13;;;10:38;;;11:48;;12:48
Sabinka;o o;;;09:55;|;;;10:41;;;11:51;;12:51
Kotuń;;;;10:01;10:22;;;10:47;;;11:57;;12:57
Koszewnica;o o;;;10:05;|;;;10:51;;;12:01;;13:01
Sosnowe;;;;10:08;|;;;10:54;;;12:04;;13:04
Grodziszcze Maz.;o;;;10:12;|;;;10:58;;;12:08;;13:08
Mrozy;p;;;10:16;10:33;;;11:02;;;12:12;;13:12
Mrozy;o;;;10:16;10:34;;;11:08;;;12:12;;13:12
Cegłów;o o;;;10:21;10:39;;;11:13;;;12:17;;13:17
Mienia;;;;10:24;|;;;11:16;;;12:20;;13:20
Barcząca;o o;;;10:27;|;;;11:19;;;12:23;;13:23
Mińsk Maz. Anielina;;;;10:30;10:47;;;11:22;;;12:26;;13:26
Mińsk Maz.;p; ;;10:32;10:49;; ;11:24; ;;12:28; ;13:28
Wrzosów;o o;10:02;;10:33;10:50;;11:02;11:31;12:02;;12:29;13:02;13:29
Wrzosów;;10:07;;10:38;|;;11:07;11:36;12:07;;12:34;13:07;13:34
Nowe Dębe Wielkie;o o;10:10;;10:41;|;;11:10;11:39;12:10;;12:37;13:10;13:37
Dębe Wielkie;;10:12;;10:43;|;;11:12;11:41;12:12;;12:39;13:12;13:39
Cisie;o o;10:15;;10:45;|;;11:15;11:43;12:15;;12:41;13:15;13:41
Halinów;;10:18;;10:48;11:00;;11:18;11:46;12:18;;12:44;13:18;13:44
Sulejówek Miłosna;p;10:21;;10:51;|;;11:21;11:49;12:21;;12:47;13:21;13:47
Sulejówek;o o;10:21;;10:52;|;;11:21;11:50;12:21;;12:48;13:21;13:48
Sulejówek;;10:24;;10:54;|;;11:24;11:52;12:24;;12:50;13:24;13:50
W-wa Wola Grzybowska;o o;10:26;;10:56;|;;11:26;11:54;12:26;;12:52;13:26;13:52
W-wa Wesoła;;10:29;;10:59;|;;11:29;11:57;12:29;;12:55;13:29;13:55
Warszawa Rembertów;p;10:32;;11:02;11:10;;11:32;12:00;12:32;;12:58;13:32;13:58
Warszawa Rembertów;o;10:33;;11:03;11:14;;11:33;12:01;12:33;;12:59;13:33;13:59
Warszawa Wschodnia;p;10:39;;11:09;11:21;;11:39;12:07;12:39;;13:05;13:39;14:05
Warszawa Wschodnia;o;10:40;;11:10; ;;11:40;12:10;12:40;;13:06;13:40;14:06
Warszawa Stadion;o o;10:43;;11:13;;;11:43;12:13;12:43;;13:09;13:43;14:09
Warszawa Powiśle;;10:45;;11:15;;;11:45;12:15;12:45;;13:11;13:45;14:11
Warszawa Śródmieście;o;10:49;;11:19;;;11:49;12:19;12:49;;13:15;13:49;14:15
Warszawa Ochota;o p;10:52;;11:22;;;11:52;12:22;12:52;;13:18;13:52;14:18
Warszawa Zachodnia;;10:55;;11:25;;;11:55;12:25;12:55;;13:21;13:55;14:21
__BEGIN__;;R2;R8;R2;R2;R1;R3;R2;R2;R8;R1;R2;11828
;;91816/7;12224/5;11858;91872;93310/1;93492/3;11860;91874;12226/7;93312/3;91818/9;(D)
;;(D);(D);;;(D);(D);;;(D);(D) [1];93312/3;
;;;;;;;;;;;;(C) [2];
Łuków;o o;;;12:58;;;;14:13;;;;;15:13
Krynka Łukowska;;;;13:04;;;;14:19;;;;;15:19
Radomyśl;o o;;;13:07;;;;14:22;;;;;15:22
Dziewule;;;;13:10;;;;14:25;;;;;15:25
Borki Kosy;o o;;;13:14;;;;14:29;;;;;15:29
Kosiorki;;;;13:17;;;;14:32;;;;;15:32
Białki Siedleckie;o o;;;13:20;;;;14:35;;;;;15:35
Siedlce Wschodnie;;;;13:22;;;;14:37;;;;;15:37
Siedlce;p;;;13:25; ;;;14:40; ;;;;15:40
Siedlce Zach.;o o;;; ;13:39;;; ;14:45;;;; 
Siedlce Zach.;;;;;13:42;;;;14:48;;;;
Sabinka;o o;;;;13:45;;;;14:51;;;;
Kotuń;;;;;13:50;;;;14:57;;;;
Koszewnica;o o;;;;13:54;;;;15:01;;;;
Sosnowe;;;;;13:57;;;;15:04;;;;
Grodziszcze Maz.;o;;;;14:01;;;;15:08;;;;
Mrozy;p;;;;14:05;;;;15:12;;;;
Mrozy;o;;;;14:12;;;;15:12;;;;
Cegłów;o o;;;;14:17;;;;15:17;;;;
Mienia;;;;;14:20;;;;15:20;;;;
Barcząca;o o;;;;14:23;;;;15:23;;;;
Mińsk Maz. Anielina;;;;;14:26;;;;15:26;;;;
Mińsk Maz.;p; ;;;14:28; ;;;15:28;; ; ;
Wrzosów;o o;13:54;;;14:29;15:02;;;15:29;;16:02;16:02;
Wrzosów;;13:59;;;14:34;15:07;;;15:34;;16:06;16:06;
Nowe Dębe Wielkie;o o;14:02;;;14:37;15:10;;;15:37;;16:09;16:09;
Dębe Wielkie;;14:04;;;14:39;15:12;;;15:39;;16:11;16:11;
Cisie;o o;14:07;;;14:41;15:15;;;15:41;;16:14;16:14;
Halinów;;14:10;;;14:44;15:18;;;15:44;;16:17;16:17;
Sulejówek Miłosna;p;14:13;;;14:47;15:21;;;15:47;;16:20;16:20;
Sulejówek;o o;14:13;;;14:48;15:21;;;15:48;;16:21;16:21;
Sulejówek;;14:16;;;14:50;15:24;;;15:50;;16:23;16:23;
W-wa Wola Grzybowska;o o;14:18;;;14:52;15:26;;;15:52;;16:26;16:26;
W-wa Wesoła;;14:21;;;14:55;15:29;;;15:55;;16:28;16:28;
Warszawa Rembertów;p;14:24; ;;14:58;15:32; ;;15:58; ;16:32;16:32;
Warszawa Rembertów;o;14:25;14:29;;14:59;15:33;15:44;;15:59;16:18;16:33;16:33;
Warszawa Wschodnia;p;14:31;14:35;;15:05;15:39;15:50;;16:05;16:24;16:39;16:39;
Warszawa Wschodnia;o;14:33;14:36;;15:06;15:40;15:51;;16:06;16:25;16:40;16:40;
Warszawa Stadion;o o;14:35;14:39;;15:09;15:43;15:54;;16:09;16:28;16:43;16:43;
Warszawa Powiśle;;14:38;14:41;;15:11;15:45;15:56;;16:11;16:30;16:45;16:45;
Warszawa Śródmieście;o;14:41;14:45;;15:15;15:49;16:00;;16:15;16:34;16:49;16:49;
Warszawa Ochota;o p;14:44;14:48;;15:18;15:52;16:03;;16:18;16:37;16:52;16:52;
Warszawa Zachodnia;;14:47;14:51;;15:21;15:55;16:06;;16:21;16:40;16:55;16:55;
__BEGIN__;;11828;R2;R1;R2;R8;R2;R3;R2;RE2;R1;RE2;R2
Warszawa Zachodnia;;(C);91876;93314/5;91820/1;93944/5;91878;19420/1;11862;91234;93316/7;91222 (D);91822/3
Warszawa Zachodnia;;;;(D);(C);(D);;(D);(E) [1];[2];(D);;(C)
Warszawa Zachodnia;;;;;;;;;;;;;
Łuków;o o;15:13;;;;;;;16:48;16:50;;;
Krynka Łukowska;;15:19;;;;;;;16:54;16:56;;;
Radomyśl;o o;15:22;;;;;;;16:57;16:59;;;
Dziewule;;15:25;;;;;;;17:00;17:02;;;
Borki Kosy;o o;15:29;;;;;;;17:04;17:05;;;
Kosiorki;;15:32;;;;;;;17:07;17:08;;;
Białki Siedleckie;o o;15:35;;;;;;;17:10;17:11;;;
Siedlce Wschodnie;;15:37;;;;;;;17:12;17:14;;;
Siedlce;p;15:40; ;;;; ;;17:15;17:17;; ;
Siedlce Zach.;o o; ;15:45;;;;16:45;; ;17:20;;17:20;
Siedlce Zach.;;;15:48;;;;16:48;;;|;;|;
Sabinka;o o;;15:51;;;;16:51;;;|;;|;
Kotuń;;;15:57;;;;16:57;;;|;;|;
Koszewnica;o o;;16:01;;;;17:01;;;|;;|;
Sosnowe;;;16:04;;;;17:04;;;|;;|;
Grodziszcze Maz.;o;;16:08;;;;17:08;;;|;;|;
Mrozy;p;;16:12;;;;17:12;;;17:36;;17:36;
Mrozy;o;;16:12;;;;17:12;;;17:37;;17:37;
Cegłów;o o;;16:17;;;;17:17;;;|;;|;
Mienia;;;16:20;;;;17:20;;;|;;|;
Barcząca;o o;;16:23;;;;17:23;;;|;;|;
Mińsk Maz. Anielina;;;16:26;;;;17:26;;;|;;|;
Mińsk Maz.;p;;16:28; ; ;;17:28;;;17:47; ;17:47; 
Wrzosów;o o;;16:29;17:02;17:02;;17:29;;;17:48;18:03;17:48;18:03
Wrzosów;;;16:34;17:07;17:07;;17:34;;;|;18:07;|;18:07
Nowe Dębe Wielkie;o o;;16:37;17:10;17:10;;17:37;;;|;18:10;|;18:10
Dębe Wielkie;;;16:39;17:12;17:12;;17:39;;;|;18:12;|;18:12
Cisie;o o;;16:41;17:15;17:15;;17:41;;;|;18:15;|;18:15
Halinów;;;16:44;17:18;17:18;;17:44;;;|;18:18;|;18:18
Sulejówek Miłosna;p;;16:47;17:21;17:21;;17:47;;;|;18:21;|;18:21
Sulejówek;o o;;16:48;17:21;17:21;;17:48;;;|;18:21;|;18:21
Sulejówek;;;16:50;17:24;17:24;;17:50;;;|;18:24;|;18:24
W-wa Wola Grzybowska;o o;;16:52;17:26;17:26;;17:52;;;|;18:26;|;18:26
W-wa Wesoła;;;16:55;17:29;17:29;;17:55;;;|;18:29;|;18:29
Warszawa Rembertów;p;;16:58;17:32;17:32; ;17:58; ;;|;18:32;|;18:32
Warszawa Rembertów;o;;16:59;17:33;17:33;17:44;17:59;18:08;;|;18:33;|;18:33
Warszawa Wschodnia;p;;17:05;17:39;17:39;17:50;18:05;18:14;;18:08;18:39;18:08;18:39
Warszawa Wschodnia;o;;17:06;17:40;17:40;17:51;18:06;18:15;;18:09;18:40;18:09;18:40
Warszawa Stadion;o o;;17:09;17:43;17:43;17:54;18:09;18:17;;< ;18:43;< ;18:43
Warszawa Powiśle;;;17:11;17:45;17:45;17:56;18:11;18:20;;< ;18:45;< ;18:45
Warszawa Śródmieście;o;;17:15;17:49;17:49;18:00;18:15;18:23;;< ;18:49;< ;18:49
Warszawa Centralna;p;;< ;< ;< ;< ;< ;< ;;18:15;< ;18:15;< 
Warszawa Centralna;o;;< ;< ;< ;< ;< ;< ;;18:23;< ;18:23;< 
Warszawa Ochota;o p;;17:18;17:52;17:52;18:03;18:18;18:26;;< 18:27;18:52;< 18:27;18:52
Warszawa Zachodnia;;;17:21;17:55;17:55;18:06;18:21;18:29;;;18:55;;18:55
__BEGIN__;;R8;R2;R2;R2;R2;R2;R2;RE2;R2;R2;R2;R2
;;93946/7;91880;91824;91824;91826 (D);11864 (D);91882;91224/5;91842/3;91884;91828/9;91830/1
;;(D);;(D) [1];(D) [2];;;;(D);(D);;(D);(D)
;;;;;;;;;;;;;
Łuków;o o;;;;;;18:08;;;;;;
Krynka Łukowska;;;;;;;18:14;;;;;;
Radomyśl;o o;;;;;;18:17;;;;;;
Dziewule;;;;;;;18:20;;;;;;
Borki Kosy;o o;;;;;;18:24;;;;;;
Kosiorki;;;;;;;18:27;;;;;;
Białki Siedleckie;o o;;;;;;18:30;;;;;;
Siedlce Wschodnie;;;;;;;18:32;;;;;;
Siedlce;p;; ;;;;18:35; ; ;; ;;
Siedlce Zach.;o o;;17:45;;;; ;18:45;19:22;;19:45;;
Siedlce Zach.;;;17:48;;;;;18:48;|;;19:48;;
Sabinka;o o;;17:51;;;;;18:51;|;;19:51;;
Kotuń;;;17:57;;;;;18:57;|;;19:57;;
Koszewnica;o o;;18:01;;;;;19:01;|;;20:01;;
Sosnowe;;;18:04;;;;;19:04;|;;20:04;;
Grodziszcze Maz.;o;;18:08;;;;;19:08;|;;20:08;;
Mrozy;p;;18:12;;;;;19:12;19:39; ;20:12;;
Mrozy;o;;18:12;;;;;19:12;19:40;19:44;20:12;;
Cegłów;o o;;18:17;;;;;19:17;|;19:48;20:17;;
Mienia;;;18:20;;;;;19:20;|;19:52;20:20;;
Barcząca;o o;;18:23;;;;;19:23;|;19:56;20:23;;
Mińsk Maz. Anielina;;;18:26;;;;;19:26;|;19:59;20:26;;
Mińsk Maz.;p;;18:28; ; ; ;;19:28;19:49;20:01;20:28; ; 
Wrzosów;o o;;18:29;18:40;18:43;19:05;;19:29;19:50;20:02;20:29;20:36;21:02
Wrzosów;;;18:34;18:45;18:48;19:10;;19:34;|;20:07;20:34;20:40;21:07
Nowe Dębe Wielkie;o o;;18:37;18:48;18:51;19:13;;19:37;|;20:10;20:37;20:43;21:10
Dębe Wielkie;;;18:39;18:50;18:53;19:15;;19:39;|;20:12;20:39;20:45;21:12
Cisie;o o;;18:41;18:53;18:56;19:18;;19:41;|;20:15;20:41;20:48;21:15
Halinów;;;18:44;18:56;18:59;19:21;;19:44;|;20:18;20:44;20:51;21:18
Sulejówek Miłosna;p;;18:47;18:59;19:02;19:24;;19:47;|;20:21;20:47;20:54;21:21
Sulejówek;o o;;18:48;18:59;19:02;19:24;;19:48;|;20:21;20:48;20:55;21:21
Sulejówek;;;18:50;19:02;19:05;19:27;;19:50;|;20:24;20:50;20:57;21:24
W-wa Wola Grzybowska;o o;;18:52;19:04;19:07;19:29;;19:52;|;20:26;20:52;21:00;21:26
W-wa Wesoła;;;18:55;19:07;19:10;19:32;;19:55;|;20:29;20:55;21:02;21:29
Warszawa Rembertów;p; ;18:58;19:10;19:13;19:35;;19:58;|;20:32;20:58;21:06;21:32
Warszawa Rembertów;o;18:44;18:59;19:11;19:14;19:36;;19:59;|;20:33;20:59;21:07;21:33
Warszawa Wschodnia;p;18:50;19:05;19:17;19:20;19:42;;20:05;20:11;20:39;21:05;21:13;21:39
Warszawa Wschodnia;o;18:51;19:06;19:18;19:21;19:44;;20:06;20:14;20:40;21:06;21:14;21:40
Warszawa Stadion;o o;18:54;19:09;19:21;19:24;19:46;;20:09;< ;20:43;21:09;21:17;21:43
Warszawa Powiśle;;18:56;19:11;19:23;19:26;19:49;;20:11;< ;20:45;21:11;21:19;21:45
Warszawa Śródmieście;o;19:00;19:15;19:27;19:30;19:52;;20:15;< ;20:49;21:15;21:23;21:49
Warszawa Centralna;p;< ;< ;< ;< ;< ;;< ;20:20;< ;< ;< ;< 
Warszawa Centralna;o;< ;< ;< ;< ;< ;;< ;20:22;< ;< ;< ;< 
Warszawa Ochota;o p;19:03;19:18;19:30;19:33;19:55;;20:18;< 20:26;20:52;21:18;21:26;21:52
Warszawa Zachodnia;;19:06;19:21;19:33;19:36;19:58;;20:21;;20:55;21:21;21:29;21:55
__BEGIN__;;R2;R2;R2;R2;R2;R2;R2;R2;;;;
;;11866;91886;91832/3;11868 (D);91888;11870;91848/9;91848/9;;;;
;;;;(D);;;;[1];[2];;;;
;;;;;;;;;;;;;
Łuków;o o;20:03;;;21:13;;22:05;;;;;;
Krynka Łukowska;;20:09;;;21:19;;22:11;;;;;;
Radomyśl;o o;20:12;;;21:22;;22:14;;;;;;
Dziewule;;20:15;;;21:25;;22:17;;;;;;
Borki Kosy;o o;20:19;;;21:29;;22:21;;;;;;
Kosiorki;;20:22;;;21:32;;22:24;;;;;;
Białki Siedleckie;o o;20:25;;;21:35;;22:27;;;;;;
Siedlce Wschodnie;;20:27;;;21:37;;22:29;;;;;;
Siedlce;p;20:30; ;;21:40; ;22:32; ; ;;;;
Siedlce Zach.;o o; ;20:45;; ;21:52; ;22:37;22:37;;;;
Siedlce Zach.;;;20:48;;;21:55;;22:40;22:40;;;;
Sabinka;o o;;20:51;;;21:59;;22:44;22:44;;;;
Kotuń;;;20:57;;;22:04;;22:50;22:50;;;;
Koszewnica;o o;;21:01;;;22:08;;22:55;22:55;;;;
Sosnowe;;;21:04;;;22:11;;22:58;22:58;;;;
Grodziszcze Maz.;o;;21:08;;;22:15;;23:02;23:02;;;;
Mrozy;p;;21:12;;;22:19;;23:06;23:06;;;;
Mrozy;o;;21:12;;;22:20;;23:07;23:07;;;;
Cegłów;o o;;21:17;;;22:24;;23:11;23:11;;;;
Mienia;;;21:20;;;22:27;;23:15;23:15;;;;
Barcząca;o o;;21:23;;;22:31;;23:19;23:19;;;;
Mińsk Maz. Anielina;;;21:26;;;22:34;;23:22;23:22;;;;
Mińsk Maz.;p;;21:28; ;;22:36;;23:25;23:25;;;;
Wrzosów;o o;;21:29;22:02;;22:37;;23:32;23:32;;;;
Wrzosów;;;21:34;22:06;;22:41;;23:36;23:36;;;;
Nowe Dębe Wielkie;o o;;21:37;22:09;;22:44;;23:39;23:39;;;;
Dębe Wielkie;;;21:39;22:11;;22:46;;23:41;23:41;;;;
Cisie;o o;;21:41;22:14;;22:49;;23:44;23:44;;;;
Halinów;;;21:44;22:17;;22:52;;23:47;23:47;;;;
Sulejówek Miłosna;p;;21:47;22:20;;22:55;;23:50;23:50;;;;
Sulejówek;o o;;21:48;22:20;;22:55;;23:51;23:51;;;;
Sulejówek;;;21:50;22:23;;22:57;;23:53;23:53;;;;
W-wa Wola Grzybowska;o o;;21:52;22:25;;23:00;;23:56;23:56;;;;
W-wa Wesoła;;;21:55;22:28;;23:02;;23:58;23:58;;;;
Warszawa Rembertów;p;;21:58;22:31;;23:06;;00:02;00:02;;;;
Warszawa Rembertów;o;;21:59;22:32;;23:07;;00:03;00:03;;;;
Warszawa Wschodnia;p;;22:05;22:38;;23:13;;00:09;00:09;;;;
Warszawa Wschodnia;o;;22:06;22:40;;23:14;;00:11;00:10;;;;
Warszawa Stadion;o o;;22:09;22:43;;23:16;;00:13;00:13;;;;
Warszawa Powiśle;;;22:11;22:45;;23:19;;00:16;00:15;;;;
Warszawa Śródmieście;o;;22:15;22:49;;23:22;;00:19;00:19;;;;
Warszawa Ochota;o p;;22:18;22:52;;23:25;;00:22;00:22;;;;
Warszawa Zachodnia;;;22:21;22:55;;23:28;;00:25;00:25;;;;
